,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,Andhra Pradesh,2017,1.0,0.0,12.4,8.8,30.8,149.6,153.2,224.2,141.8,123.0,46.7,1.2,892.7,1.0,52.0,668.8,170.9
1,Arunachal Pradesh,2017,8.2,86.2,221.8,348.2,257.1,370.8,437.8,456.4,318.6,227.1,9.9,3.4,2745.3,94.4,827.0,1583.5,240.3
2,Assam,2017,1.7,37.8,116.7,310.9,268.4,485.2,429.0,483.1,345.4,212.1,10.3,11.0,2711.7,39.5,695.9,1742.7,233.5
3,West Bengal,2017,2.2,2.55,59.9,86.30000000000001,166.55,297.15,483.95000000000005,521.2,290.75,195.85,12.85,7.5,2126.75,4.75,312.75,1593.1,216.20000000000002
4,Bihar,2017,0.7,0.0,22.8,21.8,79.7,84.6,379.9,342.8,129.6,50.1,0.0,0.0,1112.0,0.7,124.3,936.8,50.2
5,Chhattisgarh,2017,0.9,0.7,3.5,0.8,15.6,184.8,378.3,300.4,177.7,61.6,0.2,0.0,1124.4,1.6,19.8,1041.2,61.8
6,Delhi,2017,34.2,0.3,7.2,4.3,10.3,121.2,69.2,76.5,92.5,0.0,1.8,4.2,421.6,34.5,21.8,359.4,6.0
7,Goa,2017,0.0,0.0,0.0,0.0,47.0,840.4,1095.3,731.2,546.9,156.9,0.7,25.0,3443.4,0.0,47.0,3213.8,182.6
8,Gujarat,2017,0.0,0.0,0.0,0.0,0.2,137.7,613.1,179.7,67.2,15.5,0.0,11.0,1024.4,0.0,0.2,997.7,26.6
9,Haryana,2017,34.2,0.3,7.2,4.3,10.3,121.2,69.2,76.5,92.5,0.0,1.8,4.2,421.6,34.5,21.8,359.4,6.0
10,Himachal Pradesh,2017,157.6,46.3,57.4,88.0,62.0,123.1,216.1,273.1,103.4,0.3,6.9,48.0,1182.2,204.0,207.3,715.7,55.2
11,Jammu & Kashmir,2017,255.5,106.4,85.0,156.7,38.5,158.5,180.7,161.4,43.3,0.3,11.3,81.5,1278.9,361.8,280.1,543.9,93.1
12,Jharkhand,2017,5.1,0.1,4.5,6.1,55.9,116.0,492.1,246.0,134.0,103.4,2.3,0.2,1165.8,5.2,66.6,988.2,105.9
13,Karnataka,2017,2.033333333333333,0.0,10.0,17.833333333333332,104.90000000000002,356.76666666666665,340.93333333333334,304.1333333333333,257.8,170.63333333333335,12.699999999999998,5.266666666666667,1582.9666666666665,2.033333333333333,132.76666666666668,1259.6333333333332,188.6
14,Kerala,2017,12.7,0.3,87.8,52.8,213.3,579.8,378.5,462.6,435.5,228.0,152.1,61.4,2664.9,13.0,353.9,1856.5,441.5
15,Madhya Pradesh,2017,4.6,4.3,1.75,0.1,9.15,119.5,323.3,176.39999999999998,147.7,16.15,0.55,1.0,804.55,8.9,10.95,766.9,17.75
16,Maharashtra,2017,0.0,0.0,0.4,0.8,18.0,189.2,280.9,192.0,190.1,112.8,5.0,5.1,994.4,0.0,19.2,852.3,122.9
17,Meghalaya,2017,1.7,37.8,116.7,310.9,268.4,485.2,429.0,483.1,345.4,212.1,10.3,11.0,2711.7,39.5,695.9,1742.7,233.5
18,Orissa,2017,1.7,0.0,29.8,8.7,55.2,209.5,349.7,301.7,192.2,161.1,30.0,4.8,1344.5,1.7,93.8,1053.1,195.9
19,Punjab,2017,42.4,3.0,14.5,12.3,12.3,110.8,94.4,122.2,62.7,0.0,5.2,17.7,497.5,45.5,39.1,390.1,22.9
20,Rajasthan,2017,7.2,0.15,4.85,2.0,20.6,85.9,256.5,90.2,33.8,0.0,0.5,2.6,504.29999999999995,7.35,27.450000000000003,466.4,3.0999999999999996
21,Sikkim,2017,3.0,5.1,84.6,146.8,226.8,400.6,478.6,777.9,390.1,166.5,3.8,1.0,2684.9,8.1,458.2,2047.3,171.3
22,Tamil Nadu,2017,37.3,1.1,35.4,17.3,73.5,47.9,42.0,159.4,165.3,155.5,141.5,96.8,973.0,38.4,126.1,414.6,393.9
23,Tripura,2017,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.1,2805.4,12.7,599.7,1829.8,363.3
24,Uttar Pradesh,2017,15.85,0.6000000000000001,6.4,1.7,19.65,67.94999999999999,254.95,157.45,112.94999999999999,1.8,0.0,0.8,640.1,16.450000000000003,27.8,593.25,2.6
25,Uttarakhand,2017,36.6,13.5,44.5,52.8,108.2,175.6,460.9,349.0,213.4,2.8,0.2,18.3,1476.0,50.1,205.6,1199.0,21.3
26,manipur,2017,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.1,2805.4,12.7,599.7,1829.8,363.3
27,mizoram,2017,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.1,2805.4,12.7,599.7,1829.8,363.3
28,nagaland,2017,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.1,2805.4,12.7,599.7,1829.8,363.3
